nLesions,areaTotal,areaMean,areaStd,distanceMean, distanceStd,weightedDistanceMean,weightedDistanceStd, opticDistanceMean, opticDistanceStd,weightedOpticDistanceMean,weightedOpticDistanceStd,nLesions1,areaTotal1,areaMean1,areaStd1,distanceMean1, distanceStd1,weightedDistanceMean1,weightedDistanceStd1, opticDistanceMean1, opticDistanceStd1,weightedOpticDistanceMean1,weightedOpticDistanceStd1,opticDistance,class
1,7080000,7080000,0,1075.8,0,7620000000,0,0,0,0,0,255,21400000,83897,69834,1787.3,525.33,159000000,145000000,1641,877.34,145000000,158000000,1075.8,FALSE
1,7070000,7070000,0,1076.9,0,7610000000,0,0,0,0,0,145,21300000,147000,219000,1727.6,547.23,245000000,405000000,1598.3,849.59,243000000,408000000,1076.9,FALSE
74,5720000,77280,665000,1312.2,579.24,66700000,574000000,1742.3,722.38,113000000,970000000,255,18800000,73711,70578,1263.3,443.97,93400000,101000000,1301.7,553.19,99900000,120000000,863.33,FALSE
418,5730000,13710,280000,1546.3,490.4,11800000,241000000,1355.6,795.35,20000000,409000000,255,20300000,79705,76830,1315.7,422.27,109000000,112000000,1365.6,538.57,114000000,121000000,861.19,FALSE
179,7690000,42972,575000,1622,271.3,39500000,528000000,709.24,549.43,73000000,977000000,221,25000000,113000,162000,1487.8,411.82,164000000,252000000,1329.9,613.98,110000000,165000000,918.1,FALSE
1,7770000,7770000,0,914.3,0,7100000000,0,0,0,0,0,255,25300000,99147,130000,1435.2,507,157000000,220000000,1384.5,649.26,144000000,229000000,914.3,FALSE
29,3850000,133000,714000,1226.6,292.78,60000000,323000000,1116.1,214.66,1116.1,214.66,255,11600000,45476,71888,924.44,330.15,43000000,74100000,851.62,489.52,39900000,76000000,452.58,FALSE
5,3850000,769000,1720000,1230.1,472,348000000,779000000,924.84,517,924.84,517,248,11600000,46687,78353,984.52,296.41,41200000,76900000,910.64,481.92,37800000,78600000,452.55,FALSE
142,7450000,52488,625000,915.01,198.81,48500000,578000000,677.38,332.67,85600000,1020000000,255,23900000,93890,112000,1374.3,457.94,128000000,166000000,1278.9,475.98,122000000,157000000,924.5,FALSE
8,7440000,930000,2630000,1413,731.64,860000000,2430000000,1231,1162,1520000000,4290000000,255,24000000,94143,106000,1421.8,420.82,140000000,169000000,1360.3,476.81,147000000,189000000,924.99,FALSE
1,7020000,7020000,0,1098.2,0,7710000000,0,0,0,0,0,255,21200000,83012,87925,1729.3,497.33,145000000,168000000,1518.2,958.46,130000000,179000000,1098.2,TRUE
1,3440000,3440000,0,816.13,0,2810000000,0,0,0,0,0,228,10400000,45542,38968,1214.3,433.68,54400000,53700000,1105.6,666.77,49500000,58400000,816.13,TRUE
1,3440000,3440000,0,815.78,0,2800000000,0,0,0,0,0,231,10400000,44958,37340,1214.2,426.6,53900000,52000000,1092.2,683.59,49400000,56400000,815.78,TRUE
1,7470000,7470000,0,926.01,0,6910000000,0,0,0,0,0,255,23700000,93126,104000,1380,455.99,124000000,155000000,1248,765.97,115000000,163000000,926.01,TRUE
1,7470000,7470000,0,925.04,0,6910000000,0,0,0,0,0,255,24100000,94463,101000,1434.9,434.49,146000000,172000000,1297.8,767.6,132000000,183000000,925.04,TRUE
1,7070000,7070000,0,1075.7,0,7610000000,0,0,0,0,0,255,21300000,83634,145000,1689.1,561.39,139000000,265000000,1563.6,853.26,135000000,267000000,1075.7,TRUE
9,7070000,786000,2360000,364.64,268.26,846000000,2540000000,1042.5,391.35,4833.3,4213.9,255,21400000,83732,100000,1748.9,597.86,132000000,188000000,1644.1,845.91,133000000,187000000,1076.1,TRUE
7,7800000,1110000,2950000,1238.3,173,1010000000,2680000000,1446.2,637.7,1928.5,1519.1,248,26300000,106000,167000,1452,407.76,154000000,221000000,1297.7,771.23,138000000,211000000,909.63,TRUE
234,7770000,33201,508000,2394.9,117.85,30000000,459000000,1670.7,109.96,20200,52964,237,25300000,107000,133000,1477.4,461.23,167000000,207000000,1343.3,758.12,151000000,211000000,904.47,TRUE
1,7420000,7420000,0,931.62,0,6910000000,0,0,0,0,0,255,25700000,101000,95810,1415.1,435.54,147000000,157000000,1281.2,774.16,134000000,171000000,931.62,TRUE
1,7420000,7420000,0,931.62,0,6910000000,0,0,0,0,0,255,25700000,101000,95810,1415.1,435.54,147000000,157000000,1281.2,774.16,134000000,171000000,931.62,TRUE
52,7630000,147000,1060000,1016.9,102.26,134000000,968000000,1623.4,229.71,5559.7,5614,224,24200000,108000,154000,1398.1,470.06,154000000,238000000,1319.3,668.76,140000000,247000000,914.46,2
55,6860000,125000,926000,2099.7,711.46,135000000,1000000000,2283.5,1576.1,287000000,2130000000,213,24500000,115000,195000,1676.6,571.73,189000000,312000000,1697.5,938.55,182000000,348000000,1080.7,2
33,6870000,208000,1200000,1923.4,721.28,225000000,1290000000,2203.3,1605.3,490000000,2810000000,228,23300000,102000,124000,1704.7,539.03,170000000,201000000,1796.2,855.67,176000000,233000000,1080.9,2
1,3240000,3240000,0,458.79,0,1490000000,0,0,0,0,0,255,9790000,38402,43530,910.09,351.24,34800000,44900000,820.92,529.05,31800000,47100000,458.79,2
1,3240000,3240000,0,458.66,0,1490000000,0,0,0,0,0,255,9790000,38407,41070,921.69,334.43,34600000,42000000,828.78,526.27,31500000,44400000,458.66,2
1,7990000,7990000,0,1167.9,0,9330000000,0,0,0,0,0,255,25000000,98125,88960,1788.6,573.46,177000000,179000000,1619.9,950.03,164000000,195000000,1167.9,2
1,7990000,7990000,0,1168,0,9330000000,0,0,0,0,0,255,25200000,98629,91724,1764.7,556.99,175000000,175000000,1605.4,918.26,161000000,194000000,1168,2
1,9230000,9230000,0,1005,0,9280000000,0,0,0,0,0,254,32100000,126000,110000,1602,470.91,200000000,200000000,1473.2,796.3,186000000,216000000,1005,2
88,5610000,63701,598000,945.45,373.66,55400000,519000000,1651.9,593.96,93300000,875000000,255,19400000,76020,108000,1278.7,418.53,91500000,137000000,1273.8,504.5,89300000,147000000,869.07,2
41,5640000,138000,881000,956,413.58,118000000,758000000,1757.2,556.16,200000000,1280000000,255,20100000,78870,96688,1286,392,102000000,118000000,1314,510.36,108000000,145000000,861.06,2
548,7580000,13835,324000,2143.6,223.27,12500000,293000000,3168.5,369.3,22800000,533000000,237,26700000,113000,217000,1464.2,383.83,155000000,267000000,1444.9,472.07,165000000,349000000,904.39,3
1,4780000,4780000,0,890.61,0,4250000000,0,0,0,0,0,219,14500000,66285,53119,1396.5,437.67,93200000,83700000,1259.9,758.26,84700000,93400000,890.61,3
1,4780000,4780000,0,890.6,0,4250000000,0,0,0,0,0,255,14500000,56970,56655,1386.1,452.1,78400000,85700000,1263.4,742.2,72700000,91500000,890.6,3
