nLesions,areaTotal,areaMean,areaStd,distanceMean, distanceStd,weightedDistanceMean,weightedDistanceStd, opticDistanceMean, opticDistanceStd,weightedOpticDistanceMean,weightedOpticDistanceStd,nLesions1,areaTotal1,areaMean1,areaStd1,distanceMean1, distanceStd1,weightedDistanceMean1,weightedDistanceStd1, opticDistanceMean1, opticDistanceStd1,weightedOpticDistanceMean1,weightedOpticDistanceStd1,opticDistance,class
1,7.08E+06,7.08E+06,0,1075.8,0,7.62E+09,0,0,0,0,0,255,2.14E+07,83897,69834,1787.3,525.33,1.59E+08,1.45E+08,1641,877.34,1.45E+08,1.58E+08,1075.8,FALSE
74,5.72E+06,77280,6.65E+05,1312.2,579.24,6.67E+07,5.74E+08,1742.3,722.38,1.13E+08,9.70E+08,255,1.88E+07,73711,70578,1263.3,443.97,9.34E+07,1.01E+08,1301.7,553.19,9.99E+07,1.20E+08,863.33,FALSE
179,7.69E+06,42972,5.75E+05,1622,271.3,3.95E+07,5.28E+08,709.24,549.43,7.30E+07,9.77E+08,221,2.50E+07,1.13E+05,1.62E+05,1487.8,411.82,1.64E+08,2.52E+08,1329.9,613.98,1.10E+08,1.65E+08,918.1,FALSE
29,3.85E+06,1.33E+05,7.14E+05,1226.6,292.78,6.00E+07,3.23E+08,1116.1,214.66,1116.1,214.66,255,1.16E+07,45476,71888,924.44,330.15,4.30E+07,7.41E+07,851.62,489.52,3.99E+07,7.60E+07,452.58,FALSE
142,7.45E+06,52488,6.25E+05,915.01,198.81,4.85E+07,5.78E+08,677.38,332.67,8.56E+07,1.02E+09,255,2.39E+07,93890,1.12E+05,1374.3,457.94,1.28E+08,1.66E+08,1278.9,475.98,1.22E+08,1.57E+08,924.5,FALSE
1,7.02E+06,7.02E+06,0,1098.2,0,7.71E+09,0,0,0,0,0,255,2.12E+07,83012,87925,1729.3,497.33,1.45E+08,1.68E+08,1518.2,958.46,1.30E+08,1.79E+08,1098.2,TRUE
1,3.44E+06,3.44E+06,0,816.13,0,2.81E+09,0,0,0,0,0,228,1.04E+07,45542,38968,1214.3,433.68,5.44E+07,5.37E+07,1105.6,666.77,4.95E+07,5.84E+07,816.13,TRUE
1,7.47E+06,7.47E+06,0,926.01,0,6.91E+09,0,0,0,0,0,255,2.37E+07,93126,1.04E+05,1380,455.99,1.24E+08,1.55E+08,1248,765.97,1.15E+08,1.63E+08,926.01,TRUE
1,7.07E+06,7.07E+06,0,1075.7,0,7.61E+09,0,0,0,0,0,255,2.13E+07,83634,1.45E+05,1689.1,561.39,1.39E+08,2.65E+08,1563.6,853.26,1.35E+08,2.67E+08,1075.7,TRUE
7,7.80E+06,1.11E+06,2.95E+06,1238.3,173,1.01E+09,2.68E+09,1446.2,637.7,1928.5,1519.1,248,2.63E+07,1.06E+05,1.67E+05,1452,407.76,1.54E+08,2.21E+08,1297.7,771.23,1.38E+08,2.11E+08,909.63,TRUE
1,7.42E+06,7.42E+06,0,931.62,0,6.91E+09,0,0,0,0,0,255,2.57E+07,1.01E+05,95810,1415.1,435.54,1.47E+08,1.57E+08,1281.2,774.16,1.34E+08,1.71E+08,931.62,TRUE
1,7.42E+06,7.42E+06,0,931.62,0,6.91E+09,0,0,0,0,0,255,2.57E+07,1.01E+05,95810,1415.1,435.54,1.47E+08,1.57E+08,1281.2,774.16,1.34E+08,1.71E+08,931.62,TRUE
